Project,URL,Language
Fundamentos de Redes Neuronales Artificiales,[http://conceptos.soc](http://conceptos.sociales.unam.mx/conceptos_final/598trabajo.pdf),espanhol
Las Redes Neuronales Artificiales,[http://catarina.udla](http://catarina.udlap.mx/u_dl_a/tales/documentos/lis/navarrete_g_j/capitulo2.pdf),espanhol
Clasificación de las Redes Neuronales Artificiales,[http://www.redes-neu](http://www.redes-neuronales.com.es/tutorial-redes-neuronales/clasificacion-de-las-redes-neuronales-artificiales.htm),espanhol
Redes Neuronales Slides,[https://elvex.ugr.es](https://elvex.ugr.es/decsai/computational-intelligence/slides/N1%20Neural%20Networks.pdf),espanhol
Redes Neuronales: Conceptos Básicos y Aplicaciones,[https://www.frro.utn](https://www.frro.utn.edu.ar/repositorio/catedras/quimica/5_anio/orientadora1/monograias/matich-redesneuronales.pdf),espanhol
Redes Neuronales Artificiales y sus Aplicaciones,[https://ocw.ehu.eus/](https://ocw.ehu.eus/pluginfile.php/9047/mod_resource/content/1/redes_neuro/contenidos/pdf/libro-del-curso.pdf),espanhol
Introducción a las Redes Neuronales y su Aplicación...,[http://www.iac.es/si](http://www.iac.es/sieinvens/SINFIN/Sie_Courses_PDFs/NNets/confiac.pdf),espanhol
Estudio de Los Principales Tipos de Redes...,[https://dspace.ups.e](https://dspace.ups.edu.ec/bitstream/123456789/4098/1/UPS-CT002584.pdf),espanhol
Redes Neuronales Artificiales aplicadas al...,[https://www.tesisenr](https://www.tesisenred.net/bitstream/handle/10803/9441/tjjmm1de1.pdf?sequence=1),espanhol
Libro OCW,[http://ocw.uv.es/ing](http://ocw.uv.es/ingenieria-y-arquitectura/1-2/libro_ocw_libro_de_redes.pdf),espanhol
Simulación de Redes Neuronales Artificiales,[http://exa.unne.edu.](http://exa.unne.edu.ar/informatica/SO/SimulacionRNA.PDF),espanhol
Introducción y Aplicaciones en Bioinformática,[http://www.pdg.cnb.u](http://www.pdg.cnb.uam.es/cursos/Complutense/Complutense2007/pages/ANN_introduccion_FMoran.pdf),espanhol
Les Reseaux de Neurones Artificiels,[http://www.touzet.or](http://www.touzet.org/Claude/Web-Fac-Claude/Les_reseaux_de_neurones_artificiels.pdf),francês
Wikipedia,[https://fr.wikipedia](https://fr.wikipedia.org/wiki/R%C3%A9seau_de_neurones_artificiels),francês
Reseaux de Neurones Artificiels Slides,[http://www-lisic.uni](http://www-lisic.univ-littoral.fr/~verel/TEACHING/08-09/sac-M1/cRdNV9.pdf),francês
Les Reseaux de Neurones Artificiels Slides,[http://www2.agropari](http://www2.agroparistech.fr/ufr-info/membres/cornuejols/Teaching/Centrale-Executive/Tr-NNs-2017x4.pdf),francês
Apprentissage et Mémoires,[https://www.labri.fr](https://www.labri.fr/perso/nrougier/downloads/LearningAndMemory.pdf),francês
Doncescu Reseaux Neurones,[http://conf.laas.fr/](http://conf.laas.fr/ignotus/archives/Doncescu_reseaux_neuronnes.pdf),francês
Journals,[https://journals.ope](https://journals.openedition.org/bmsap/4463),francês
Entraînez un réseau de neurones simple,[https://openclassroo](https://openclassrooms.com/fr/courses/4470406-utilisez-des-modeles-supervises-non-lineaires/4730716-entrainez-un-reseau-de-neurones-simple),francês
Accromath,[http://accromath.uqa](http://accromath.uqam.ca/2018/09/reseaux-de-neurones-artificiels/),francês
Wikiversity,[https://fr.wikiversi](https://fr.wikiversity.org/wiki/R%C3%A9seaux_de_neurones/Applications_des_r%C3%A9seaux_de_neurones),francês
Les réseaux de neurones: quand l’informatique est capable d’apprendre,[http://www.acsysteme](http://www.acsysteme.com/fr/reseaux-de-neurones),francês
Introduction au Deep Learning,[https://meritis.fr/i](https://meritis.fr/ia/deep-learning/),francês
Deep Learning Perceptrons simples et multicouches,[http://eric.univ-lyo](http://eric.univ-lyon2.fr/~ricco/cours/slides/reseaux_neurones_perceptron.pdf),francês
Reti Neurali,[http://www.intellige](http://www.intelligenzaartificiale.it/reti-neurali/),italiano
Introduzione alle reti neurali,[http://matematica.un](http://matematica.unibocconi.it/articoli/introduzione-alle-reti-neurali),italiano
UNIPV,[https://vision.unipv](https://vision.unipv.it/IA/aa2001-2002/10-RetiNeurali.pdf),italiano
Semeion.it,[http://www.semeion.i](http://www.semeion.it/semeion/index.php/it/reti-neurali-artificiali.html),italiano
Reti Neurali Artificiali in Medicina,[http://www.irccsdebe](http://www.irccsdebellis.it/html/reti_neurali/home_RetiNeurali.htm),italiano
Le reti neurali informatiche,[http://www.andreamin](http://www.andreaminini.com/ai/le-reti-neurali-informatiche),italiano
Lucidi Reti Neurali,[https://areeweb.poli](https://areeweb.polito.it/didattica/gcia/Apprendimento_Mimetico/Lucidi/Lucidi_Reti_Neurali1.pdf),italiano
Le Reti Neurali Artificiali,[http://www.introni.i](http://www.introni.it/reti%20neurali.html),italiano
Appunti di reti neurali,[http://www.dsi.unive](http://www.dsi.unive.it/~srotabul/files/AppuntiRetiNeurali.pdf),italiano
Reti Neurali in Generale,[https://www.math.uni](https://www.math.unipd.it/~sperduti/ML12/reti_neurali.pdf),italiano
Reti Neurali di Convoluzione,[https://dnlcrl.githu](https://dnlcrl.github.io/assets/cv/TM16.pdf),italiano
Reti Neurali Slides,[http://cirlab.det.un](http://cirlab.det.unifi.it/ComplementiET/NN_2015-16.pdf),italiano
Seminari di Sistemi Informatici,[http://torlone.dia.u](http://torlone.dia.uniroma3.it/sistelab/retineurali.pdf),italiano
Storia delle reti neurali artificiali,[http://people.na.inf](http://people.na.infn.it/~murano/SICSI-VIII/Labonia.pdf),italiano
Neuronale Netze,[http://www.neuronale](http://www.neuronalesnetz.de/downloads/neuronalesnetz_de.pdf),alemão
Einführung in Neuronale Netze,[https://www.dbai.tuw](https://www.dbai.tuwien.ac.at/education/AIKonzepte/Folien/NeuronaleNetze.pdf),alemão
Neuronales Netz,[http://www.enzyklopa](http://www.enzyklopaedie-der-wirtschaftsinformatik.de/lexikon/technologien-methoden/KI-und-Softcomputing/Neuronales-Netz),alemão
Konstruktion eines künstlichen Gehirns,[http://www.natur-str](http://www.natur-struktur.ch/ai/neuronale.html),alemão
Künstliche Neuronale Netze,[https://www.fernuni-](https://www.fernuni-hagen.de/mi/studium/module/knn.shtml?sg=mscinf),alemão
Tu-Dresden,[https://tu-dresden.d](https://tu-dresden.de/ing/informatik/ti/vlsi/ressourcen/dateien/dateien_studium/dateien_lehstuhlseminar/vortraege_lehrstuhlseminar/lehrstuhlseminar_ws17_18/KNN_Knoefel_Praesentation.pdf?lang=en),alemão
Einführung in Neuronale Netze,[http://www.bongards.](http://www.bongards.de/nn_v.pdf),alemão
Neuronale Netze,[https://www.thphys.u](https://www.thphys.uni-heidelberg.de/~horner/NN.pdf),alemão
Künstliche Neuronale Netze,[https://imsc.uni-gra](https://imsc.uni-graz.at/modellwoche/2012/FachArbeitPucher.pdf),alemão
Einführung in Künstliche Neuronale Netze,[https://nms.kcl.ac.u](https://nms.kcl.ac.uk/stefan.edelkamp/lectures/ml/slides/neuronale%20netze.pdf),alemão
"Neuronale Netze, Deep Learning",[https://www.cs.uni-p](https://www.cs.uni-potsdam.de/ml/teaching/ss14/ml2/NeuronaleNetze2.pdf),alemão
NN,[http://fuzzy.cs.ovgu](http://fuzzy.cs.ovgu.de/ci/nn/nn-all.pdf),alemão
Wikipedia,[https://ru.wikipedia](https://ru.wikipedia.org/wiki/%D0%98%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D0%BD%D0%B5%D0%B9%D1%80%D0%BE%D0%BD%D0%BD%D0%B0%D1%8F_%D1%81%D0%B5%D1%82%D1%8C),russo
Neuralnet,[https://neuralnet.in](https://neuralnet.info/chapter/%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D1%8B-%D0%B8%D0%BD%D1%81/),russo
Neuronus,[https://neuronus.com](https://neuronus.com/theory/nn/),russo
Neuropro,[http://neuropro.ru/n](http://neuropro.ru/neu.shtml),russo
Intro,[http://www.igce.comc](http://www.igce.comcor.ru/AI_mag/NN/Intro.html),russo
Cryptowiki,[http://cryptowiki.ne](http://cryptowiki.net/index.php?title=%D0%9D%D0%B5%D0%B9%D1%80%D0%BE%D0%BD%D0%BD%D1%8B%D0%B5_%D1%81%D0%B5%D1%82%D0%B8_%D0%B2_%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D0%B8),russo
Proglib,[https://proglib.io/p](https://proglib.io/p/neural-networks/),russo
Neural Nets,[http://www.ccas.ru/v](http://www.ccas.ru/voron/download/NeuralNets.pdf),russo
Neural Network Slides,[http://isdwiki.rsuh.](http://isdwiki.rsuh.ru/moodle/pluginfile.php/77/mod_resource/content/1/NeuralNetwork.pdf),russo
Baskin Lecture,[http://www.ibmc.msk.](http://www.ibmc.msk.ru/content/524BaskinLecture.pdf),russo
03 ANN,[https://logic.pdmi.r](https://logic.pdmi.ras.ru/~sergey/teaching/mlcsclub/03-ann.pdf),russo
Book,[http://iit1.mpei.ac.](http://iit1.mpei.ac.ru/pubkrug1.pdf),russo
Burakov Neuro,[http://window.edu.ru](http://window.edu.ru/resource/206/80206/files/Burakov_Neuro.pdf),russo
Students Repository,[http://rain.ifmo.ru/](http://rain.ifmo.ru/cat/data/students/repository/neural-network-2010/NeuralNetworks.pdf),russo
